Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,08/11/2025,"SQ *SOUTH O BREWING COM Oceanside CA         08/08",-19.24,DEBIT_CARD,296.29,,
DEBIT,08/11/2025,"SQ *NICO?S FISH MARKET Carlsbad CA           08/08",-47.84,DEBIT_CARD,315.53,,
DEBIT,08/11/2025,"RIVIAN CAFE IRVINE CA                        08/08",-11.15,DEBIT_CARD,363.37,,
DEBIT,08/11/2025,"RIVIAN CAFE IRVINE CA                        08/08",-4.85,DEBIT_CARD,374.52,,
CREDIT,08/11/2025,"Online Transfer from SAV ...3362 transaction#: 25798471690",100.00,ACCT_XFER,379.37,,
CREDIT,08/11/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-VENMO REF: 25081020462780276 INFO: TEXT-  IID: 20250810021000021P1BRJPC03280035383 RECD: 16:14:02 TRN: 0921442222GA BREF: 8fd2eabe-1528-4d45-9e14-14866fa5ae0",73.69,MISC_CREDIT,279.37,,
DEBIT,08/08/2025,"SQ *PRAGER BROTHERS CAR Carlsbad CA          08/08",-13.22,DEBIT_CARD,205.68,,
DEBIT,08/07/2025,"SALUD SOCIETY WWW.SALUDSOCI CA               08/07",-19.00,DEBIT_CARD,218.90,,
DEBIT,08/07/2025,"RIVIAN CAFE IRVINE CA                        08/06",-12.39,DEBIT_CARD,237.90,,
DEBIT,08/07/2025,"RIVIAN CAFE IRVINE CA                        08/06",-4.04,DEBIT_CARD,250.29,,
DEBIT,08/06/2025,"SP THRIVECAUSEMETICS THRIVECAUSEME WA        08/05",-34.10,DEBIT_CARD,254.33,,
DEBIT,08/04/2025,"TST*UPPERCRUST PIZZA - Oceanside CA          08/03",-32.02,DEBIT_CARD,288.43,,
DEBIT,08/04/2025,"SQ *VIGILANTE COFFEE Oceanside CA            08/03",-13.25,DEBIT_CARD,320.45,,
DEBIT,08/04/2025,"SQ *VIGILANTE COFFEE Oceanside CA            08/02",-19.30,DEBIT_CARD,333.70,,
DEBIT,08/04/2025,"RIVIAN CAFE IRVINE CA                        08/01",-4.04,DEBIT_CARD,353.00,,
DEBIT,08/04/2025,"RIVIAN CAFE IRVINE CA                        08/01",-3.50,DEBIT_CARD,357.04,,
CREDIT,08/04/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",15.00,ACH_CREDIT,360.54,,
DEBIT,08/01/2025,"Online Transfer to CHK ...8171 transaction#: 25690847416 08/01",-1300.00,ACCT_XFER,345.54,,
CREDIT,08/01/2025,"RESILIENT STRENG PAYROLL                    PPD ID: 1462800242",1477.42,ACH_CREDIT,1645.54,,
DEBIT,07/29/2025,"Online Transfer to CHK ...8171 transaction#: 25653681549 07/29",-450.00,ACCT_XFER,168.12,,
DEBIT,07/29/2025,"SQ *PRAGER BROTHERS CAR Carlsbad CA          07/29",-10.78,DEBIT_CARD,618.12,,
DEBIT,07/29/2025,"RIVIAN CAFE IRVINE CA                        07/28",-5.39,DEBIT_CARD,628.90,,
CREDIT,07/29/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",480.00,ACH_CREDIT,634.29,,
DEBIT,07/28/2025,"SQ *VIGILANTE COFFEE Oceanside CA            07/26",-24.00,DEBIT_CARD,154.29,,
DEBIT,07/28/2025,"RIVIAN CAFE IRVINE CA                        07/25",-9.91,DEBIT_CARD,178.29,,
DEBIT,07/28/2025,"RIVIAN CAFE IRVINE CA                        07/25",-2.80,DEBIT_CARD,188.20,,
CREDIT,07/28/2025,"Online Transfer from CHK ...8171 transaction#: 25619972530",100.00,ACCT_XFER,191.00,,
DEBIT,07/25/2025,"STARBUCKS STORE 21739 CARLSBAD CA            07/24",-13.50,DEBIT_CARD,91.00,,
DEBIT,07/24/2025,"VENMO            PAYMENT    1043729583912   WEB ID: 3264681992",-30.00,ACH_DEBIT,104.50,,
DEBIT,07/24/2025,"RIVIAN CAFE IRVINE CA                        07/23",-12.39,DEBIT_CARD,134.50,,
DEBIT,07/24/2025,"RIVIAN CAFE IRVINE CA                        07/23",-1.76,DEBIT_CARD,146.89,,
DEBIT,07/23/2025,"SQ *PRAGER BROTHERS CAR Carlsbad CA          07/22",-16.68,DEBIT_CARD,148.65,,
DEBIT,07/22/2025,"CANONICA PRI LLC NEWARK NJ                   07/22",-12.94,DEBIT_CARD,165.33,,
DEBIT,07/22/2025,"FIREHOUSE SUBS B22 FOO NEWARK NJ             07/21",-17.55,DEBIT_CARD,178.27,,
DEBIT,07/22/2025,"FIREHOUSE SUBS B22 FOO NEWARK NJ             07/21",-82.61,DEBIT_CARD,195.82,,
DEBIT,07/22/2025,"STARBUCKS STORE 10406 TREVOSE PA             07/21",-5.72,DEBIT_CARD,278.43,,
DEBIT,07/21/2025,"VENMO            PAYMENT    1043639474645   WEB ID: 3264681992",-150.00,ACH_DEBIT,284.15,,
DEBIT,07/21/2025,"WAWA 253 CONSHOHOCKEN PA                     07/20",-16.67,DEBIT_CARD,434.15,,
DEBIT,07/21/2025,"TST* SPREAD BAGELRY NEWTOWN SQUAR PA         07/21",-20.47,DEBIT_CARD,450.82,,
DEBIT,07/21/2025,"TARGET T- 1200 BALTIMO SPRINGFIELD PA        07/19",-10.60,DEBIT_CARD,471.29,,
DEBIT,07/21/2025,"DAIRY QUEEN #15538 MANCHESTER TW NJ          07/18",-9.15,DEBIT_CARD,481.89,,
DEBIT,07/18/2025,"JOECOFFEE-THE CAFFEIN 120-65313212 WA        07/18",-24.01,DEBIT_CARD,491.04,,
DEBIT,07/18/2025,"CAROUSEL CANDIES PT PLEASANT B NJ            07/17",-7.36,DEBIT_CARD,515.05,,
DEBIT,07/18/2025,"TST*LITTLE MACS Point Pleasan NJ             07/17",-32.79,DEBIT_CARD,522.41,,
DEBIT,07/18/2025,"DUNKIN #363849 NEWARK NJ                     07/17",-14.71,DEBIT_CARD,555.20,,
DEBIT,07/17/2025,"SAN PEETS COFFEE T2W 23 SAN DIEGO CA         07/16",-10.23,DEBIT_CARD,569.91,,
DEBIT,07/17/2025,"TST*OCEAN THAI CUISINE Oceanside CA          07/16",-43.93,DEBIT_CARD,580.14,,
DEBIT,07/17/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         07/16",-17.00,DEBIT_CARD,624.07,,
DEBIT,07/17/2025,"UNITED      01643139384 UNITED.COM TX        07/16",-40.00,DEBIT_CARD,641.07,,
CREDIT,07/17/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",58.00,ACH_CREDIT,681.07,,
DEBIT,07/16/2025,"Online Transfer to SAV ...3362 transaction#: 25501362325 07/16",-100.00,ACCT_XFER,623.07,,
DEBIT,07/16/2025,"Online Transfer to CHK ...8171 transaction#: 25501343420 07/16",-1500.00,ACCT_XFER,723.07,,
DEBIT,07/16/2025,"TST*HOMESTATE - OCEANSI Oceanside CA         07/15",-40.67,DEBIT_CARD,2223.07,,
DEBIT,07/16/2025,"RIVIAN CAFE IRVINE CA                        07/15",-3.23,DEBIT_CARD,2263.74,,
DEBIT,07/16/2025,"RIVIAN CAFE IRVINE CA                        07/15",-11.15,DEBIT_CARD,2266.97,,
DEBIT,07/16/2025,"RIVIAN CAFE IRVINE CA                        07/15",-2.80,DEBIT_CARD,2278.12,,
CREDIT,07/16/2025,"RESILIENT STRENG PAYROLL                    PPD ID: 1462800242",1898.65,ACH_CREDIT,2280.92,,
DEBIT,07/15/2025,"VENMO            PAYMENT    1043546181268   WEB ID: 3264681992",-40.00,ACH_DEBIT,382.27,,
DEBIT,07/15/2025,"SQ *BLUE BOWL SUPERFOOD Oceanside CA         07/14",-41.00,DEBIT_CARD,422.27,,
DEBIT,07/14/2025,"Online Transfer to CHK ...8171 transaction#: 25477078347 07/14",-400.00,ACCT_XFER,463.27,,
DEBIT,07/14/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         07/12",-8.50,DEBIT_CARD,863.27,,
DEBIT,07/14/2025,"RALPHS #0054 OCEANSIDE CA                    07/11",-5.99,DEBIT_CARD,871.77,,
DEBIT,07/14/2025,"RIVIAN CAFE IRVINE CA                        07/11",-2.80,DEBIT_CARD,877.76,,
CREDIT,07/14/2025,"Square Inc       SQ250714                   PPD ID: 9424300002",649.52,ACH_CREDIT,880.56,,
DEBIT,07/11/2025,"TST*BESHOCK RAMEN & SAK Carlsbad CA          07/10",-52.38,DEBIT_CARD,231.04,,
DEBIT,07/10/2025,"SQ *THE BUCCANEER CAFE Oceanside CA          07/10",-18.33,DEBIT_CARD,283.42,,
DEBIT,07/10/2025,"SQ *VIGILANTE COFFEE Oceanside CA            07/10",-13.64,DEBIT_CARD,301.75,,
DEBIT,07/10/2025,"RIVIAN CAFE IRVINE CA                        07/09",-1.76,DEBIT_CARD,315.39,,
DEBIT,07/08/2025,"VENMO            PAYMENT    1043397113860   WEB ID: 3264681992",-15.00,ACH_DEBIT,317.15,,
DEBIT,07/08/2025,"IN-N-OUT ENCINITAS ENCINITAS CA              07/07",-16.22,DEBIT_CARD,332.15,,
DEBIT,07/08/2025,"RIVIAN CAFE IRVINE CA                        07/07",-3.50,DEBIT_CARD,348.37,,
DEBIT,07/07/2025,"SQ *BLUE BOWL SUPERFOOD Oceanside CA         07/05",-11.00,DEBIT_CARD,351.87,,
DEBIT,07/07/2025,"TST*HOMESTATE - OCEANSI Oceanside CA         07/05",-40.06,DEBIT_CARD,362.87,,
DEBIT,07/07/2025,"7-ELEVEN OCEANSIDE CA                        07/05",-5.25,DEBIT_CARD,402.93,,
DEBIT,07/07/2025,"SQ *KUMAYA_YAKISOBA Oceanside CA             07/03",-21.00,DEBIT_CARD,408.18,,
DEBIT,07/07/2025,"SQ *RAFIKIZ FOODZ San Diego CA               07/03",-17.82,DEBIT_CARD,429.18,,
DEBIT,07/07/2025,"SQ *HONG KONG CUISINE San Diego CA           07/03",-31.03,DEBIT_CARD,447.00,,
DEBIT,07/07/2025,"RIVIAN CAFE IRVINE CA                        07/02",-12.39,DEBIT_CARD,478.03,,
DEBIT,07/07/2025,"RIVIAN CAFE IRVINE CA                        07/02",-1.62,DEBIT_CARD,490.42,,
DEBIT,07/03/2025,"SQ *VIGILANTE COFFEE Oceanside CA            07/03",-4.90,DEBIT_CARD,492.04,,
DEBIT,07/03/2025,"SQ *VIGILANTE COFFEE Oceanside CA            07/03",-17.53,DEBIT_CARD,496.94,,
DEBIT,07/02/2025,"TST*HANGAR 24 BREWERY O Irvine CA            07/01",-33.06,DEBIT_CARD,514.47,,
DEBIT,07/02/2025,"RIVIAN CAFE IRVINE CA                        07/01",-3.23,DEBIT_CARD,547.53,,
DEBIT,07/02/2025,"RIVIAN CAFE IRVINE CA                        07/01",-17.24,DEBIT_CARD,550.76,,
DEBIT,07/01/2025,"SQ *STEADY STATE ROASTI CARLSBAD CA          07/01",-25.01,DEBIT_CARD,568.00,,
DEBIT,07/01/2025,"Online Transfer to SAV ...3362 transaction#: 25321661478 07/01",-1000.00,ACCT_XFER,593.01,,
DEBIT,07/01/2025,"Online Transfer to CHK ...8171 transaction#: 25321693378 07/01",-1000.00,ACCT_XFER,1593.01,,
DEBIT,07/01/2025,"RIVIAN CAFE IRVINE CA                        06/30",-5.39,DEBIT_CARD,2593.01,,
CREDIT,07/01/2025,"RESILIENT STRENG PAYROLL                    PPD ID: 1462800242",1875.35,ACH_CREDIT,2598.40,,
DEBIT,06/30/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         06/29",-8.50,DEBIT_CARD,723.05,,
DEBIT,06/30/2025,"SQ *VIGILANTE COFFEE Oceanside CA            06/29",-37.91,DEBIT_CARD,731.55,,
DEBIT,06/30/2025,"SQ *BLUE BOWL SUPERFOOD Oceanside CA         06/28",-23.00,DEBIT_CARD,769.46,,
DEBIT,06/30/2025,"SQ *BLUE BOWL SUPERFOOD Oceanside CA         06/27",-11.00,DEBIT_CARD,792.46,,
CREDIT,06/30/2025,"Square Inc       SQ250630                   PPD ID: 9424300002",309.14,ACH_CREDIT,803.46,,
DEBIT,06/27/2025,"TST*HOMESTATE - OCEANSI Oceanside CA         06/26",-52.04,DEBIT_CARD,494.32,,
DEBIT,06/26/2025,"HEIGHTS MARKET SAN DIEGO CA                  06/25",-38.23,DEBIT_CARD,546.36,,
DEBIT,06/26/2025,"HEIGHTS MARKET SAN DIEGO CA                  06/25",-6.22,DEBIT_CARD,584.59,,
DEBIT,06/25/2025,"RIVIAN CAFE IRVINE CA                        06/24",-11.15,DEBIT_CARD,590.81,,
DEBIT,06/24/2025,"SQ *CAFFE_IN COFFEE ROA Tustin CA            06/24",-5.75,DEBIT_CARD,601.96,,
DEBIT,06/24/2025,"SQ *PRAGER BROTHERS PIZ Carlsbad CA          06/23",-20.00,DEBIT_CARD,607.71,,
CREDIT,06/24/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-VENMO REF: 25062418459324809 INFO: TEXT-  IID: 20250624021000021P1BRJPC08240164817 RECD: 14:18:28 TRN: 1013812175GC BREF: 1e77bedf-968f-420b-aee0-fd1f12cd45e",393.00,MISC_CREDIT,627.71,,
DEBIT,06/23/2025,"VENMO            PAYMENT    1043040306033   WEB ID: 3264681992",-30.00,ACH_DEBIT,234.71,,
DEBIT,06/23/2025,"HIGH TIDE COFFEE OSID 178-15833699 CA        06/22",-26.28,DEBIT_CARD,264.71,,
DEBIT,06/23/2025,"SQ *VIGILANTE COFFEE Oceanside CA            06/22",-13.37,DEBIT_CARD,290.99,,
DEBIT,06/23/2025,"SQ *VIGILANTE COFFEE Oceanside CA            06/21",-7.95,DEBIT_CARD,304.36,,
DEBIT,06/23/2025,"SQ *REVOLUTION ROASTERS Carlsbad CA          06/20",-20.40,DEBIT_CARD,312.31,,
DEBIT,06/20/2025,"SAPPCLUB.COM 888-418-8805 CA                 06/20",-42.84,DEBIT_CARD,332.71,,
DEBIT,06/20/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         06/19",-22.50,DEBIT_CARD,375.55,,
DEBIT,06/20/2025,"TST* DIRTY DOUGH - OCEA OCEANSIDE CA         06/19",-23.07,DEBIT_CARD,398.05,,
DEBIT,06/18/2025,"SURFIN CHICKEN SAN CLEMENTE CA               06/17",-28.10,DEBIT_CARD,421.12,,
DEBIT,06/17/2025,"Online Transfer to CHK ...8171 transaction#: 25160211756 06/17",-200.00,ACCT_XFER,449.22,,
DEBIT,06/16/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         06/15",-8.50,DEBIT_CARD,649.22,,
DEBIT,06/16/2025,"Online Transfer to SAV ...3362 transaction#: 25130042429 06/16",-1000.00,ACCT_XFER,657.72,,
CREDIT,06/16/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",30.00,ACH_CREDIT,1657.72,,
CREDIT,06/16/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",34.00,ACH_CREDIT,1627.72,,
CREDIT,06/16/2025,"RESILIENT STRENG PAYROLL                    PPD ID: 1462800242",1514.26,ACH_CREDIT,1593.72,,
CREDIT,06/12/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",21.00,ACH_CREDIT,79.46,,
DEBIT,06/09/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         06/08",-32.50,DEBIT_CARD,58.46,,
DEBIT,06/09/2025,"SQ *VIGILANTE COFFEE Oceanside CA            06/06",-50.56,DEBIT_CARD,90.96,,
DEBIT,06/06/2025,"VENMO            PAYMENT    1042706558972   WEB ID: 3264681992",-100.00,ACH_DEBIT,141.52,,
DEBIT,06/05/2025,"SAPPCLUB.COM 888-418-8805 CA                 06/05",-47.61,DEBIT_CARD,241.52,,
DEBIT,06/04/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         06/03",-14.50,DEBIT_CARD,289.13,,
DEBIT,06/02/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         06/01",-7.50,DEBIT_CARD,303.63,,
DEBIT,06/02/2025,"SQ *VIGILANTE COFFEE Oceanside CA            05/31",-27.28,DEBIT_CARD,311.13,,
